epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.693,4.1576,4.97524,2.55631,0,0,0,0,3.92535,4.82623,2.16059,7.69e-06,7.69e-06,7.69e-06
2,13.4519,4.23965,5.05508,2.60305,0,0,0,0,3.92596,4.82605,2.15499,2.26132e-05,2.26132e-05,2.26132e-05
3,19.5354,4.14946,5.02538,2.61793,0,0,0,0,3.94512,4.82659,2.17724,3.69274e-05,3.69274e-05,3.69274e-05
4,26.3852,4.019,4.9307,2.14303,0,0,0,0,3.94108,4.81993,2.18264,5.06325e-05,5.06325e-05,5.06325e-05
5,33.0116,3.91825,4.89272,2.06175,0,0,0,0,3.95337,4.81728,2.199,6.37286e-05,6.37286e-05,6.37286e-05
6,39.3214,4.40897,5.38437,2.48461,0,0,0,0,3.95337,4.81728,2.199,7.62156e-05,7.62156e-05,7.62156e-05
7,45.2622,3.69381,4.90807,2.07248,0,0,0,0,3.918,4.80915,2.20136,8.80936e-05,8.80936e-05,8.80936e-05
8,51.1361,3.83963,4.76893,2.091,0,0,0,0,3.81004,4.788,2.15148,9.93625e-05,9.93625e-05,9.93625e-05
9,57.198,4.28781,5.0105,2.50064,0,0,0,0,3.81004,4.788,2.15148,0.000110022,0.000110022,0.000110022
10,62.7431,3.73194,4.72077,1.84675,0,0,0,0,3.60704,4.77107,2.0659,0.000120073,0.000120073,0.000120073
11,68.5376,3.57506,4.63159,2.02142,0,0,0,0,3.60704,4.77107,2.0659,0.000129515,0.000129515,0.000129515
12,73.899,3.75371,4.95199,2.13775,0,0,0,0,3.53967,4.74206,2.01343,0.000138348,0.000138348,0.000138348
13,79.7651,3.76735,4.65409,1.8313,0,0,0,0,3.53967,4.74206,2.01343,0.000146571,0.000146571,0.000146571
14,85.3928,3.48511,4.50098,1.7864,0,0,0,0,3.53967,4.74206,2.01343,0.000154186,0.000154186,0.000154186
15,92.6158,3.32379,4.65245,1.85332,0,0,0,0,3.31252,4.69674,1.8521,0.000161192,0.000161192,0.000161192
16,99.9475,3.38248,4.63034,1.94952,0,0,0,0,3.31252,4.69674,1.8521,0.000167588,0.000167588,0.000167588
