epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.21666,4.21451,5.07741,2.39104,0,0,0,0,3.59607,4.81057,2.49092,7.69e-06,7.69e-06,7.69e-06
2,18.5154,4.12292,4.95965,2.26197,0,0,0,0,3.60418,4.80754,2.44897,2.26132e-05,2.26132e-05,2.26132e-05
3,26.4869,4.26555,4.9542,2.22137,0,0,0,0,3.57451,4.79134,2.4229,3.69274e-05,3.69274e-05,3.69274e-05
4,35.4552,4.32235,5.06566,2.43372,0,0,0,0,3.56393,4.79537,2.37264,5.06325e-05,5.06325e-05,5.06325e-05
5,43.6202,4.27042,5.18236,2.2637,0,0,0,0,3.55927,4.80074,2.25078,6.37286e-05,6.37286e-05,6.37286e-05
6,52.2932,3.72098,4.72514,1.76636,0,0,0,0,3.55927,4.80074,2.25078,7.62156e-05,7.62156e-05,7.62156e-05
7,61.1173,3.99178,4.98498,2.09216,0,0,0,0,3.44482,4.7858,2.08829,8.80936e-05,8.80936e-05,8.80936e-05
8,69.3917,3.83487,4.78873,1.85413,0,0,0,0,3.28317,4.74702,2.03627,9.93625e-05,9.93625e-05,9.93625e-05
9,77.7685,3.48591,4.63156,1.96087,0,0,0,0,3.28317,4.74702,2.03627,0.000110022,0.000110022,0.000110022
10,86.7043,3.80343,4.66507,1.71933,0,0,0,0,3.23929,4.7071,1.93743,0.000120073,0.000120073,0.000120073
11,96.5049,3.88966,4.81689,1.83388,0,0,0,0,3.23929,4.7071,1.93743,0.000129515,0.000129515,0.000129515
12,105.696,3.35055,4.58075,1.77757,0.00556,0.0303,0.01834,0.00183,3.23245,4.64535,1.91106,0.000138348,0.000138348,0.000138348
13,115.46,3.17574,4.4609,1.7442,0.00556,0.0303,0.01834,0.00183,3.23245,4.64535,1.91106,0.000146571,0.000146571,0.000146571
14,125.091,3.82562,4.59121,1.61706,0.00556,0.0303,0.01834,0.00183,3.23245,4.64535,1.91106,0.000154186,0.000154186,0.000154186
15,136.598,3.5281,4.40995,1.67365,0.0049,0.0303,0.01276,0.00255,3.21298,4.65338,1.73478,0.000161192,0.000161192,0.000161192
16,147.192,3.46584,4.48168,1.922,0.0049,0.0303,0.01276,0.00255,3.21298,4.65338,1.73478,0.000167588,0.000167588,0.000167588
