file,seed,seed_flags,modifier_count,has_dead_sensors,is_fullmap,modifiers,seed_raw,unknown_tokens
101__capture_2026-02-17T04-31-03-153Z.png,15640,LENGTH_5_NOT_8,8,False,False,Artifact: Ice | Fast Gate | Cosmic Storm | Leech Swarms | Legion Patrols | Lava Epics | Lots Of Asteroids | Few Ships,mapseed15640 | beed:1915B | mase15640 | seed:1915B | ese186) | apseed:1915B6.,
105__capture_2026-02-17T22-20-22-983Z.png,352EA0,LENGTH_6_NOT_8,1,True,False,Dead Sensors,magseed3052EA0 | ed:13052 | mapseed352ea0 | pseed:13052E | es004) | upseed:13052E,eachbums01Xx
107__capture_2026-02-17T23-15-08-496Z.png,,NO_SEED_FOUND,6,False,False,Artifact: Ice | Sandstorm | Easy Loot | Dead Worlds | Legion Patrols | Few Ships,"magseedD7e01 | maeedD701 | beed:D7I | eeDeo, | apseed:D7E7",RapldWarrior
108__capture_2026-02-17T23-41-05-781Z.png,,NO_SEED_FOUND,6,False,False,Artifact: Ice | Leech Swarms | Lava Epics | Gloaming Expanse | Legion Patrols | Few Ships,magseed:4DF4B00 | seed:4DDF48 | masd:4D40 | pseed:4DDF4BC | asD0 | apseed:4DDF4BC,apldWarrior
111__capture_2026-02-18T23-15-14-312Z.png,,NO_SEED_FOUND,9,False,False,Artifact: Healing | Fast Gate | Ancient Vault | Leech Swarms | Legion Patrols | Lava Epics | Low Altitude Fog | Cryon Rift | Few Ships,magseed19320 | oseed:189731 | mapsee87320 | pseed:18973A | es81020 | upseed:18973A:,egdbumse)xx
113__capture_2026-02-20T02-35-22-703Z.png,,NO_SEED_FOUND,1,True,False,Dead Sensors,magseed:2D42640 | eed:29D42 | mapsed242640 | pseed:29D426. | es0240 | apseed:29D4261,
114__capture_2026-02-20T19-21-28-479Z.png,467180,LENGTH_6_NOT_8,8,False,False,Artifact: Healing | Ancient Vault | Rogue Turrets | Epic Loot | Lots Of Asteroids | Gloaming Expanse | Legion Patrols | Few Ships,mapseed467180 | ped:46718 | mapsed46180 | seed:46718F | eses | apseed:46718FF,
115__capture_2026-02-20T20-00-19-022Z.png,48C080,LENGTH_6_NOT_8 | SUBST(48CO80->48C080),6,False,False,Artifact: Ice | Epic Loot | Low Altitude Fog | Gloaming Expanse | Legion Patrols | Few Ships,mapseed48CO80 | 448C0 | d: | mapsed48C0f80 | upseed:448COFI | ese4eafes | apseed:448COF:,ricksParts
116__capture_2026-02-20T20-33-34-674Z.png,,NO_SEED_FOUND,1,True,False,Dead Sensors,magpseed3298FC0 | seed:3E2981 | mased3298C0 | seed:3E298F | es9eo | apseed:3E298FC,
117__capture_2026-02-20T21-21-36-089Z.png,,NO_SEED_FOUND,7,False,False,Artifact: Ice | Ancient Vault | Rogue Turrets | Legion Patrols | Low Altitude Fog | Few Asteroids | Gloaming Expanse,magpseed70267e00 | seed:7D267 | magsed7270 | seed:7D267E | e20 | apseed:7D267EC,FANCYGOOSE | PRIVATEER | DUBIOUSREFLECTION | Hunter
119__capture_2026-02-20T23-03-12-537Z.png,,NO_SEED_FOUND,6,False,False,Artifact: Weapon | Rogue Turrets | Epic Loot | Few Asteroids | Dead Worlds | Legion Patrols,mapsee:52F0 | ed:532F | mosed5280 | seed:532FBF | e0 | apseed:532FBFC,VANGUARD | HUNtER | ESCAPEVELOCITY | SOLOOUTLAW
120__capture_2026-02-22T00-33-42-386Z.png,53D180,LENGTH_6_NOT_8,6,False,False,Artifact: Ice | Sandstorm | Legion Patrols | Lava Epics | Dead Worlds | Few Ships,mapseed:53D180 | seed:5A3FD | mosede3FD180 | seed:5A3FD1 | ee18 | apseed:5A3FD18,oldWarrior
121__capture_2026-02-22T01-10-18-742Z.png,,NO_SEED_FOUND,5,False,False,Artifact: Weapon | Cosmic Storm | Legion Patrols | Lava Epics | Few Ships,magseed1B0320 | oseed:1FBO31 | mapsd10320 | oseed:1FB03E | es0 | apseed:1FB03E:,PROBYMCPROBEFACE | OUTLAW | oldWarrior
122__capture_2026-02-22T01-52-36-408Z.png,,NO_SEED_FOUND,8,False,False,Artifact: Healing | Ancient Vault | Rogue Turrets | Lava Epics | Low Altitude Fog | Lots Of Asteroids | Legion Patrols | Few Ships,magsee:4818CA80 | seed:481BCA | mase4818CA80 | upseed:481BCAI | C | apseed:481BCAI,ENTVAULT | LONGHAULER | STARDOCK | StueGrifn
123__capture_2026-02-22T02-02-22-038Z.png,4C8F100,LENGTH_7_NOT_8,6,False,False,Artifact: Healing | Fast Gate | Rogue Turrets | Few Asteroids | Legion Patrols | Few Ships,"mapseed:4C8F100 | ed:4BC8F | mosed:4810 | seed:4BC8F1 | eo, | apseed:4BC8F1C",
124__capture_2026-02-25T01-33-26-133Z.png,28B02,LENGTH_5_NOT_8,7,False,False,Artifact: Healing | Fast Gate | Leech Swarms | Legion Patrols | Lots Of Asteroids | Cryon Rift | Few Ships,mapseed28B02 | eed:1208 | mased20802 | seed:1208B | mee00) | upseed:1208BC,
128__capture_2026-02-25T03-12-15-194Z.png,64C08F0,LENGTH_7_NOT_8,7,False,False,Artifact: Healing | Rogue Turrets | Low Altitude Fog | Few Asteroids | Cryon Rift | Legion Patrols | Few Ships,mapseed64C08F0 | seed:64C081 | mapse600 | oseed:64CO8F | osee0 | apseed:64CO8F,
129__capture_2026-02-25T03-45-23-385Z.png,4DA9580,LENGTH_7_NOT_8,1,True,False,Dead Sensors,mapseed4DA9580 | seed:40DA95 | mapsed40980 | upseed:40DA95 | s0s80 | apseed:40DA951,YOKXBtard
131__capture_2026-02-25T05-26-45-547Z.png,598C200,LENGTH_7_NOT_8,5,False,False,Artifact: Weapon | Sandstorm | Dead Worlds | Legion Patrols | Few Ships,mapseed598C200 | seed:59BC2 | mapsd98C20 | pseed:59BC2E | ese80 | apseed:59BC2E,
132__capture_2026-02-25T06-02-46-869Z.png,,NO_SEED_FOUND,6,False,False,Artifact: Healing | Legion Patrols | Lava Epics | Low Altitude Fog | Cryon Rift | Few Ships,magpseed5030900 | )seed:503091 | mased00 | seed:50309F | s0 | apseed:50309F,
134__capture_2026-03-01T05-49-39-708Z.png,,NO_SEED_FOUND,9,False,False,Artifact: Ice | Fast Gate | Ancient Vault | Leech Swarms | Lava Epics | Lots Of Asteroids | Dead Worlds | Legion Patrols | Few Ships,magseed:5CED9400 | SCEDO | Q:: | msed9400 | seed:5CED94 | esd0) | upseed:5CED944,
136__capture_2026-03-04T22-45-02-585Z.png,5A73080,LENGTH_7_NOT_8,7,False,False,Artifact: Healing | Fast Gate | Leech Swarms | Legion Patrols | Lots Of Asteroids | Cryon Rift | Few Ships,mapseed5A73080 | pseed:5AA73 | mapsedA00 | pseed:5AA730 | ed08 | upseed:5AA730,baSteve
138__capture_2026-03-05T05-48-05-497Z.png,A7200,LENGTH_5_NOT_8,9,False,False,Artifact: Healing | Fast Gate | Ancient Vault | Leech Swarms | Rogue Turrets | Low Altitude Fog | Lots Of Asteroids | Legion Patrols | Few Ships,mapseedA7200 | Ped:FAs | magsedA720 | seed:FA72E | eeFe0 | pseed:FA72E,
140__capture_2026-03-05T06-41-54-863Z.png,385AD8C0,,1,True,False,Dead Sensors,mapseed385AD8C0 | seed:385aD | mapsed854D8C0 | ipseed:385AD8 | es0Co | upseed:385AD8(,enched22
144__capture_2026-03-06T19-33-26-202Z.png,,NO_SEED_FOUND,5,False,False,Artifact: Ice | Cosmic Storm | Legion Patrols | Low Altitude Fog | Few Ships,magpsee:520E300 | seed:52BOE: | mased2800 | seed:52BOE3 | 00 | apseed:52BOE3,codeKraken
145__capture_2026-03-06T22-40-43-509Z.png,68410,LENGTH_5_NOT_8,1,True,False,Dead Sensors,mapseed68410 | seed:684F3 | mapsed6410 | seed:684F31 | s0 | apseed:684F310,
146__capture_2026-03-06T22-40-43-509Z__relinked_1.png,68410,LENGTH_5_NOT_8,1,True,False,Dead Sensors,mapseed68410 | seed:684F3 | mapsed6410 | seed:684F31 | s0 | apseed:684F310,
147__capture_2026-03-07T01-22-49-063Z.png,34C0F280,SUBST(34COF280->34C0F280),6,False,False,Artifact: Healing | Ancient Vault | Leech Swarms | Easy Loot | Legion Patrols | Few Ships,mapseed34COF280 | a:340 | mapsede3C020 | pseed:34COF2 | ee028 | upseed:34COF2),S.S.BADDECISIONS | BASTION
148__capture_2026-03-07T01-52-05-890Z.png,,NO_SEED_FOUND,7,False,False,Artifact: Healing | Sandstorm | Rogue Turrets | Few Asteroids | Dead Worlds | Legion Patrols | Few Ships,magsed:185CA800 | eed:185C. | mapse85C80 | pseed:185CA8: | ee080 | upseed:185CA81,COSMICSANS | SCOUT | bergockey
149__capture_2026-03-07T01-52-05-890Z.png,,NO_SEED_FOUND,7,False,False,Artifact: Healing | Sandstorm | Rogue Turrets | Few Asteroids | Dead Worlds | Legion Patrols | Few Ships,magsed:185CA800 | eed:185C. | mapse85C80 | pseed:185CA8: | ee080 | upseed:185CA81,COSMICSANS | SCOUT | bergockey
152__capture_2026-03-08T05-35-08-583Z.png,,NO_SEED_FOUND,8,False,False,Artifact: Healing | Fast Gate | Rogue Turrets | Legion Patrols | Lava Epics | Lots Of Asteroids | Dead Worlds | Few Ships,magpseed1810 | ped:1141 | mased1810 | oseed:1148B1 | meeh0 | apseed:1148B1K,
153__capture_2026-03-08T06-07-45-187Z.png,,NO_SEED_FOUND,9,False,False,Artifact: Weapon | Sandstorm | Ancient Vault | Rogue Turrets | Low Altitude Fog | Few Asteroids | Dead Worlds | Legion Patrols | Few Ships,magseed693c00 | Ped:6093CI | mased60360 | seed:6093CD | esco | upseed:6093CDI,
156__capture_2026-03-08T23-10-09-213Z.png,,NO_SEED_FOUND,8,False,False,Artifact: Ice | Ancient Vault | Rogue Turrets | Lava Epics | Low Altitude Fog | Few Asteroids | Cryon Rift | Legion Patrols,MEREMAININOS1psed:545BC80 | TIMEREMAINING59:2954C80 | TIMEREMAINING9:2 | 9:2 | EREMAININ | pseed:5F45B,UNSINKABLEII | HUNtER | ICARUS | SOLOOUTLAW
157__capture_2026-03-08T23-27-19-268Z.png,,NO_SEED_FOUND,9,False,False,Artifact: Healing | Haunted Storm | Ancient Vault | Leech Swarms | Rogue Turrets | Lots Of Asteroids | Gloaming Expanse | Legion Patrols | Few Ships,mapsed:4B0360 | ed:44BO3 | mapse4060 | pseed:44B036 | me00) | apseed:44B0361,
158__capture_2026-03-09T03-03-14-344Z.png,3AD09F40,,6,False,False,Artifact: Healing | Leech Swarms | Lots Of Asteroids | Cryon Rift | Legion Patrols | Few Ships,mapseed3AD09F40 | oseed:3ad091 | mapsed0940 | pseed:3AD09F | eeD40 | apseed:3AD09F,kythe45
160__capture_2026-03-09T03-30-32-581Z.png,08600,LENGTH_5_NOT_8,1,True,False,Dead Sensors,mapseed08600 | eed:50D86 | maseed060 | ipseed:50D86D | s00 | apseed:50D86De,
163__capture_2026-03-09T05-06-19-093Z.png,,NO_SEED_FOUND,10,False,False,Artifact: Healing | Fast Gate | Haunted Storm | Leech Swarms | Rogue Turrets | Legion Patrols | Lava Epics | Few Asteroids | Gloaming Expanse | Few Ships,magsed:6D0F500 | ea:6DC | magse600 | pseed:6DOF57 | es0 | upseed:6DOF57,uberelocke
165__capture_2026-03-10T03-26-56-644Z.png,,NO_SEED_FOUND,5,False,False,Artifact: Weapon | Fast Gate | Epic Loot | Legion Patrols | Few Ships,mapsee:275D0500 | seed:275DO! | mapse2500 | ipseed:275D05 | esee600 | apseed:275D05,arkoPizza
166__capture_2026-03-10T04-04-02-104Z.png,,NO_SEED_FOUND,5,False,False,Artifact: Healing | Haunted Storm | Legion Patrols | Gloaming Expanse | Few Ships,magseed510580 | seed:511051 | mapsd0580 | pseed:51105B | s0 | apseed:51105B:,
167__capture_2026-03-10T04-37-50-905Z.png,,NO_SEED_FOUND,9,False,False,Artifact: Ice | Haunted Storm | Ancient Vault | Rogue Turrets | Legion Patrols | Low Altitude Fog | Lots Of Asteroids | Gloaming Expanse | Few Ships,magsee:39ECCe40 | sa:S | magsee30C40 | pseed:39ECCE | eeCeoc | upseed:39ECCE,tingPupy
169__capture_2026-03-10T23-16-42-128Z.png,,NO_SEED_FOUND,8,False,False,Artifact: Weapon | Fast Gate | Cosmic Storm | Rogue Turrets | Epic Loot | Lots Of Asteroids | Legion Patrols | Few Ships,mapsee:740DB380 | eed:740DB: | magsee708380 | upseed:740DB3 | ee80 | upseed:740DB31,mberelocke
171__capture_2026-03-11T00-08-38-692Z.png,,NO_SEED_FOUND,8,False,False,Artifact: Ice | Fast Gate | Ice Storm | Ancient Vault | Leech Swarms | Cryon Rift | Legion Patrols | Few Ships,mapsed:4CF85E00 | seed:4CF851 | mapsee4850 | pseed:4CF85E | ees) | upseed:4CF85E,iberelocke
172__capture_2026-03-11T00-50-35-520Z.png,,NO_SEED_FOUND,5,False,False,Artifact: Ice | Haunted Storm | Gloaming Expanse | Legion Patrols | Few Ships,magpseed51008 | sea:510 | mased1008 | oseed:51D70 | ee0) | apseed:51D70X,
176__capture_2026-03-11T19-48-06-664Z.png,,NO_SEED_FOUND,6,False,False,Artifact: Weapon | Cosmic Storm | Rogue Turrets | Legion Patrols | Few Asteroids | Few Ships,magpseed6D51380 | seed:6AD51 | magsed6D130 | seed:6AD513 | 80 | upseed:6AD513,mberelocke
1774159967028__capture_2026-03-22T06-14-56-411Z.png,,NO_SEED_FOUND,8,False,False,Artifact: Healing | Fast Gate | Ancient Vault | Leech Swarms | Legion Patrols | Lava Epics | Low Altitude Fog | Few Ships,magpseed2436400 | seed:24363 | msed436340 | seed:243634 | 0 | upseed:243631,
177__capture_2026-03-11T20-12-46-579Z.png,,NO_SEED_FOUND,5,False,False,Artifact: Healing | Legion Patrols | Lava Epics | Dead Worlds | Few Ships,magseed:486400 | masd4860 | seed:44986A | es80 | apseed:44986A,iberelocke
178__capture_2026-03-11T20-53-50-978Z.png,,NO_SEED_FOUND,9,False,False,Artifact: Healing | Ancient Vault | Rogue Turrets | Legion Patrols | Lava Epics | Low Altitude Fog | Few Asteroids | Gloaming Expanse | Few Ships,magpsee:45613800 | seed:456F3 | mased45680 | seed:456F381 | 60 | apseed:456F38C,
180__capture_2026-03-11T21-40-05-453Z.png,,NO_SEED_FOUND,8,False,False,Artifact: Weapon | Ice Storm | Leech Swarms | Rogue Turrets | Few Asteroids | Cryon Rift | Legion Patrols | Few Ships,magpseed6792380 | eed:6792E | mogsede69230 | seed:6792E3 | e280 | apseed:6792E3,restOnyx
